Wall time,Step,Value
1713342271.1164668,400,-2519.25
1713342271.96476,500,-2460.0400390625
1713342274.1277761,1100,-2463.708984375
1713342275.8381457,1500,-2521.2265625
1713342276.113385,1600,-2503.949951171875
1713342276.9216285,1900,-2442.873779296875
1713342277.7133138,2000,-2461.139892578125
1713342277.984871,2100,-2436.857177734375
1713342278.5306816,2300,-2401.50439453125
1713342278.808638,2400,-2437.36669921875
1713342280.2065988,2700,-2365.014892578125
1713342280.4753547,2800,-2378.321533203125
1713342284.5047867,3900,-2417.8974609375
1713342285.5705884,4100,-2438.190185546875
1713342288.0699618,4800,-2391.933349609375
1713342288.3597107,4900,-2390.9306640625
1713342289.203895,5000,-2395.511962890625
1713342289.7658103,5200,-2390.08837890625
1713342291.1246648,5500,-2408.763671875
1713342291.9994736,5800,-2401.803466796875
1713342293.4135888,6100,-2379.6884765625
1713342293.6846864,6200,-2376.1064453125
1713342293.9627702,6300,-2379.187255859375
1713342294.2317407,6400,-2383.33740234375
1713342295.3154352,6600,-2383.939453125
1713342295.5848856,6700,-2381.75830078125
1713342295.8592615,6800,-2375.052978515625
1713342296.1275408,6900,-2381.298583984375
1713342297.2096431,7100,-2378.954833984375
1713342297.4868438,7200,-2373.022216796875
1713342299.669219,7800,-2369.351318359375
1713342300.7544668,8000,-2366.867431640625
1713342301.613094,8300,-2369.284423828125
1713342302.978851,8600,-2359.355712890625
1713342304.5034728,9000,-2355.171142578125
1713342308.1877325,10000,-2328.402099609375
1713342309.2031047,10400,-2321.010009765625
1713342310.5180113,10700,-2312.906005859375
1713342310.800058,10800,-2303.634033203125
1713342311.8377495,11000,-2307.18798828125
1713342314.124834,11700,-2318.177978515625
1713342315.9780936,12200,-2333.511962890625
1713342317.5724502,12600,-2343.337890625
1713342317.8568077,12700,-2346.89990234375
1713342318.431104,12900,-2342.531982421875
1713342319.5523033,13100,-2334.617919921875
1713342321.7736514,13700,-2333.949951171875
1713342322.0449243,13800,-2328.64404296875
1713342324.9833755,14500,-2339.27197265625
1713342325.5235713,14700,-2334.68603515625
1713342325.794541,14800,-2336.93603515625
1713342327.1385634,15100,-2351.25390625
1713342329.6311817,15800,-2334.013916015625
1713342331.058042,16100,-2346.8759765625
1713342331.64544,16300,-2343.422119140625
1713342332.7602248,16500,-2343.89208984375
1713342334.9172347,17100,-2373.25
1713342335.1826305,17200,-2373.778076171875
1713342335.4744463,17300,-2377.552001953125
1713342337.3356674,17800,-2375.2919921875
1713342338.9468193,18200,-2380.281982421875
1713342340.284703,18500,-2388.924072265625
1713342340.5534823,18600,-2391.39990234375
1713342340.8250563,18700,-2403.134033203125
1713342342.4915085,19100,-2410.6640625
1713342342.7738025,19200,-2422.47998046875
1713342343.0620236,19300,-2428.966064453125
1713342346.1950834,20000,-2436.427978515625
1713342347.0228977,20300,-2435.949951171875
1713342347.3108578,20400,-2432.60205078125
1713342348.139221,20500,-2433.52392578125
1713342348.405596,20600,-2434.419921875
1713342348.9418929,20800,-2438.10009765625
1713342350.5538867,21200,-2444.60009765625
1713342351.0923994,21400,-2440.761962890625
1713342352.1612995,21600,-2454.18994140625
1713342353.7637448,22000,-2440.236083984375
1713342354.0284042,22100,-2439.666015625
1713342354.3023295,22200,-2448.7880859375
1713342355.7115338,22500,-2453.280029296875
1713342357.608306,23000,-2460.93603515625
1713342361.401514,24000,-2454.199951171875
1713342361.938137,24200,-2455.842041015625
1713342363.2746258,24500,-2446.5380859375
1713342363.5403771,24600,-2444.597900390625
1713342363.8215992,24700,-2448.555908203125
1713342367.1593277,25500,-2431.52197265625
1713342368.2678094,25900,-2418.7119140625
1713342369.0823047,26000,-2408.6259765625
1713342369.3527837,26100,-2406.97607421875
1713342373.536517,27200,-2352.033935546875
1713342374.9629722,27500,-2344.3759765625
1713342375.514601,27700,-2339.822021484375
1713342376.0708094,27900,-2332.2880859375
1713342377.161253,28100,-2330.22607421875
1713342377.7144485,28300,-2331.22802734375
1713342379.0700538,28600,-2327.31201171875
1713342379.8758018,28900,-2315.98388671875
1713342380.959483,29100,-2321.427978515625
1713342382.8655846,29600,-2314.946044921875
1713342383.408206,29800,-2309.6279296875
1713342383.6975718,29900,-2318.172119140625
