Wall time,Step,Value
1713299057.6212077,600,-2474.52392578125
1713299057.7705657,700,-2479.6123046875
1713299058.9951656,1200,-2429.833251953125
1713299059.812352,1500,-2431.819091796875
1713299059.9820144,1600,-2474.232177734375
1713299060.4806418,1900,-2456.548828125
1713299061.1309469,2100,-2496.7958984375
1713299062.128591,2500,-2511.9658203125
1713299064.759251,3700,-2584.158203125
1713299065.9167473,4100,-2580.038330078125
1713299066.2568398,4300,-2590.69091796875
1713299066.952122,4500,-2587.86669921875
1713299067.1205492,4600,-2579.59326171875
1713299067.449208,4800,-2590.60107421875
1713299068.888781,5400,-2637.166748046875
1713299069.3746011,5500,-2647.251953125
1713299069.548403,5600,-2640.78564453125
1713299069.706791,5700,-2627.481201171875
1713299069.8698833,5800,-2629.1083984375
1713299071.898884,6600,-2658.240234375
1713299072.385102,6900,-2657.4638671875
1713299073.2063804,7200,-2658.263916015625
1713299073.3691328,7300,-2657.5009765625
1713299073.5430906,7400,-2662.28564453125
1713299074.1308975,7500,-2670.8837890625
1713299075.3196006,8000,-2688.7197265625
1713299077.0728009,8800,-2694.102294921875
1713299077.2392128,8900,-2695.96630859375
1713299079.0471122,9500,-2716.368408203125
1713299080.7725317,10300,-2710.17724609375
1713299081.601991,10600,-2714.58154296875
1713299081.770039,10700,-2710.282958984375
1713299083.469952,11400,-2750.712890625
1713299084.4717045,11700,-2749.28564453125
1713299084.8258412,11900,-2752.758544921875
1713299087.0686383,12700,-2753.89990234375
1713299087.9224632,13000,-2727.05859375
1713299088.1109083,13100,-2739.72998046875
1713299090.2553093,14000,-2751.68994140625
1713299090.5919173,14200,-2761.277099609375
1713299090.761927,14300,-2759.34716796875
1713299090.939591,14400,-2770.0185546875
1713299093.050106,15100,-2776.762939453125
1713299094.2346196,15600,-2776.00146484375
1713299094.5572507,15800,-2801.537109375
1713299094.7682238,15900,-2810.931396484375
1713299095.8331456,16300,-2817.765625
1713299097.10718,16800,-2812.96435546875
1713299097.2715771,16900,-2829.31005859375
1713299098.1141865,17200,-2839.222900390625
1713299099.439211,17800,-2824.969970703125
1713299099.6032035,17900,-2828.50146484375
1713299100.2712414,18100,-2836.19580078125
1713299100.8907974,18400,-2845.434326171875
1713299101.5793705,18600,-2850.221435546875
1713299101.7433393,18700,-2848.53564453125
1713299102.0741735,18900,-2851.6572265625
1713299102.777749,19100,-2848.9384765625
1713299102.9348974,19200,-2840.45849609375
1713299104.5715702,19900,-2864.580078125
1713299106.761217,20700,-2931.455810546875
1713299106.929019,20800,-2931.318603515625
1713299107.1018941,20900,-2928.664306640625
1713299108.1593351,21300,-2918.877197265625
1713299110.7235734,22300,-2923.19580078125
1713299110.8976676,22400,-2922.735595703125
1713299111.621782,22600,-2924.161376953125
1713299112.672306,23000,-2941.392822265625
1713299113.1754875,23300,-2928.64990234375
1713299113.3346558,23400,-2934.048583984375
1713299113.8822691,23500,-2936.104248046875
1713299114.3760564,23800,-2931.79296875
1713299117.4730985,25000,-2927.021484375
1713299118.832562,25600,-2927.5615234375
1713299119.3346903,25900,-2901.47705078125
1713299120.0569088,26100,-2892.565673828125
1713299120.2303715,26200,-2887.128662109375
1713299120.5729663,26400,-2884.515625
1713299121.6144788,26800,-2885.36279296875
1713299122.656061,27200,-2856.068603515625
1713299123.0213368,27400,-2853.46435546875
1713299124.24372,27900,-2843.50439453125
1713299127.7325592,29300,-2803.68994140625
1713299128.9274185,29800,-2775.562744140625
1713299129.110553,29900,-2770.032958984375
1713299130.1510623,30300,-2729.562744140625
1713299130.313787,30400,-2733.320068359375
1713299131.3815217,30800,-2689.235595703125
1713299131.5473897,30900,-2688.815673828125
1713299132.2322388,31100,-2685.737060546875
1713299132.7308154,31400,-2666.80859375
1713299133.9232724,31900,-2648.6943359375
1713299134.4158323,32000,-2641.58154296875
1713299134.5795605,32100,-2635.04150390625
1713299135.7471044,32600,-2611.489990234375
1713299135.9298098,32700,-2607.852783203125
1713299136.0952902,32800,-2608.63720703125
1713299136.94727,33100,-2588.728515625
1713299139.1407766,34000,-2570.28857421875
1713299139.5242035,34200,-2559.532958984375
1713299140.896988,34800,-2534.031494140625
1713299142.2659492,35400,-2501.485595703125
1713299142.7678106,35500,-2487.82861328125
1713299144.1590986,36100,-2466.80859375
1713299144.6624124,36400,-2454.760009765625
1713299145.6900692,36800,-2440.6298828125
1713299146.740625,37200,-2432.051513671875
1713299147.0971835,37400,-2423.218505859375
1713299148.153416,37800,-2433.3642578125
1713299148.3324993,37900,-2434.530029296875
1713299148.8740783,38000,-2439.93994140625
1713299149.2261288,38200,-2427.53857421875
1713299150.4361675,38700,-2418.937255859375
1713299151.658034,39200,-2411.21435546875
1713299151.8297937,39300,-2405.989990234375
1713299152.0204468,39400,-2398.4013671875
1713299155.7417529,40900,-2410.201416015625
1713299157.65238,41600,-2407.34716796875
1713299159.0550613,42200,-2405.2900390625
1713299159.2203996,42300,-2408.3427734375
1713299159.919968,42500,-2409.297119140625
1713299160.2630556,42700,-2410.904296875
1713299161.281095,43100,-2404.515625
1713299163.4979641,44000,-2388.021484375
1713299163.8463423,44200,-2385.10009765625
1713299164.0372767,44300,-2387.889892578125
1713299164.9001806,44600,-2387.121337890625
1713299166.2630007,45200,-2367.778564453125
1713299168.3481145,46000,-2378.621337890625
1713299168.5241249,46100,-2384.815673828125
1713299169.0553226,46400,-2382.212890625
1713299169.570344,46500,-2386.57275390625
1713299171.4873824,47400,-2402.51708984375
1713299171.9788003,47500,-2403.102783203125
1713299174.5279903,48600,-2382.63427734375
1713299175.0270736,48900,-2386.42431640625
1713299175.526982,49000,-2387.20703125
1713299175.8871393,49200,-2390.44140625
1713299176.2147725,49400,-2397.777099609375
1713299179.6843863,50800,-2378.44140625
1713299180.9165757,51300,-2395.42138671875
1713299181.5992186,51500,-2394.84130859375
1713299182.1444297,51800,-2404.287109375
1713299182.8225005,52000,-2414.92724609375
1713299184.0685682,52500,-2441.31005859375
1713299184.2337232,52600,-2438.837158203125
1713299185.5828645,53200,-2474.264404296875
1713299185.9441361,53400,-2486.817138671875
1713299186.4565666,53500,-2492.685791015625
1713299186.8046887,53700,-2503.068603515625
1713299186.9773617,53800,-2512.417236328125
1713299187.9136858,54100,-2519.76708984375
1713299188.2656884,54300,-2523.24853515625
1713299189.4451222,54800,-2538.378662109375
1713299189.6044333,54900,-2540.38134765625
1713299191.8819914,55800,-2564.7099609375
1713299192.5327024,56000,-2563.72998046875
1713299193.238187,56400,-2570.61865234375
1713299193.7289112,56500,-2568.94580078125
1713299193.9194584,56600,-2575.70703125
1713299194.9297605,57000,-2580.448486328125
1713299195.6292148,57400,-2585.455810546875
1713299196.1316192,57500,-2582.75146484375
1713299196.6180892,57800,-2577.67431640625
1713299197.2971482,58000,-2576.185791015625
1713299197.4618049,58100,-2572.258544921875
1713299197.6329322,58200,-2566.262939453125
1713299197.8020182,58300,-2563.462890625
1713299197.9938583,58400,-2555.760009765625
1713299198.4950857,58500,-2555.697021484375
1713299198.860132,58700,-2557.338623046875
1713299199.0286064,58800,-2553.241455078125
1713299200.2173874,59300,-2573.588623046875
1713299200.3807237,59400,-2578.54150390625
1713299201.3860426,59800,-2597.257080078125
1713299202.2608652,60100,-2614.1572265625
1713299202.5955367,60300,-2616.351318359375
1713299203.9887888,60900,-2637.741455078125
1713299204.6656046,61100,-2628.82275390625
1713299206.0150173,61600,-2636.830078125
1713299207.0498507,62000,-2642.28564453125
1713299207.2150383,62100,-2648.77001953125
1713299207.561732,62300,-2642.669921875
1713299210.7379565,63500,-2621.98291015625
1713299212.3881462,64200,-2626.07275390625
1713299212.5622869,64300,-2630.1943359375
1713299213.279141,64500,-2625.638671875
1713299213.467403,64600,-2626.280029296875
1713299213.6467505,64700,-2627.50439453125
1713299213.817507,64800,-2626.61279296875
1713299214.576622,65000,-2628.568603515625
1713299215.1136518,65300,-2634.492919921875
1713299216.1270723,65700,-2631.277099609375
1713299216.2922215,65800,-2636.181396484375
1713299217.3463268,66200,-2633.975830078125
1713299218.19666,66500,-2637.161376953125
1713299218.8682914,66900,-2637.96435546875
1713299219.7218523,67200,-2642.7314453125
1713299219.909031,67300,-2637.874267578125
1713299220.076063,67400,-2637.15576171875
1713299220.5644007,67500,-2635.73291015625
1713299220.725754,67600,-2636.145751953125
1713299221.0901608,67800,-2649.954345703125
1713299221.2519898,67900,-2662.911376953125
1713299221.7513487,68000,-2660.8642578125
1713299222.2604444,68300,-2682.9658203125
1713299222.4425614,68400,-2690.021484375
1713299222.9918208,68500,-2691.067138671875
1713299223.3165667,68700,-2697.875732421875
1713299223.6471817,68900,-2709.82861328125
1713299224.1592536,69000,-2702.17724609375
1713299225.7608113,69700,-2722.524169921875
1713299226.5696144,70000,-2724.590087890625
1713299227.220526,70400,-2711.3271484375
1713299228.0629792,70700,-2709.6201171875
1713299228.3961382,70900,-2695.949951171875
1713299229.0815706,71100,-2699.474365234375
1713299230.140419,71500,-2721.088623046875
1713299230.825718,71900,-2732.3271484375
1713299231.702669,72200,-2731.638671875
1713299231.8648965,72300,-2740.91845703125
1713299232.0413706,72400,-2745.547119140625
1713299232.5481355,72500,-2748.11572265625
1713299233.9215324,73100,-2748.53857421875
1713299235.2846835,73700,-2744.812744140625
1713299235.608913,73900,-2753.030029296875
1713299236.1182618,74000,-2754.661376953125
1713299236.7887301,74400,-2765.895751953125
1713299237.6742241,74700,-2777.952880859375
1713299237.8442738,74800,-2772.545654296875
1713299238.708547,75100,-2776.095703125
1713299238.886079,75200,-2775.627197265625
1713299239.0760033,75300,-2773.96435546875
1713299239.7967389,75500,-2772.361328125
1713299240.1407306,75700,-2773.904296875
1713299241.5410836,76300,-2773.798583984375
1713299242.3991947,76600,-2768.91845703125
1713299242.561167,76700,-2778.71142578125
1713299243.4471612,77000,-2782.182861328125
1713299243.6162822,77100,-2783.67724609375
1713299243.7814322,77200,-2781.468505859375
1713299244.1290863,77400,-2783.762939453125
1713299244.6328485,77500,-2788.161376953125
1713299246.060078,78100,-2783.264404296875
1713299247.0924342,78500,-2779.23291015625
1713299247.273649,78600,-2776.3701171875
1713299247.6126044,78800,-2775.57275390625
1713299248.2836816,79000,-2765.70703125
1713299248.630354,79200,-2756.895751953125
1713299248.7946422,79300,-2754.2099609375
1713299248.9708085,79400,-2750.241455078125
1713299249.4588752,79500,-2748.41845703125
1713299249.632443,79600,-2758.75439453125
1713299250.156723,79900,-2747.6943359375
1713299250.8841612,80100,-2747.021484375
1713299251.232725,80300,-2771.664306640625
1713299252.1210458,80600,-2793.22998046875
1713299252.447366,80800,-2801.10009765625
1713299252.6069634,80900,-2806.394287109375
1713299253.1404161,81000,-2815.389892578125
1713299254.4949358,81600,-2820.858642578125
1713299254.6626732,81700,-2824.531494140625
1713299254.9981973,81900,-2817.590087890625
1713299255.8768399,82200,-2817.392822265625
1713299256.8762026,82600,-2825.068603515625
1713299257.3893728,82900,-2831.125732421875
1713299258.3030548,83200,-2862.0400390625
1713299258.5082173,83300,-2872.855712890625
1713299259.2676075,83500,-2866.92578125
1713299259.6168115,83700,-2884.3115234375
1713299259.9725473,83900,-2869.16845703125
1713299261.1928933,84400,-2886.78564453125
1713299262.055758,84700,-2887.07275390625
1713299262.3789403,84900,-2902.417236328125
1713299266.1089616,86400,-3014.972900390625
1713299267.1141987,86800,-3046.77294921875
1713299267.785855,87000,-3068.47998046875
1713299267.990119,87100,-3070.42431640625
1713299269.024251,87500,-3105.30859375
1713299269.3887339,87700,-3123.66845703125
1713299269.5692742,87800,-3121.20849609375
1713299270.4652503,88100,-3153.74560546875
1713299270.7971985,88300,-3152.97998046875
1713299271.4830322,88500,-3154.888671875
1713299272.030958,88800,-3167.511474609375
1713299272.728039,89000,-3174.494384765625
1713299272.9167173,89100,-3179.832763671875
1713299273.2576218,89300,-3193.580078125
1713299274.2900038,89700,-3206.98291015625
1713299275.3432071,90100,-3210.03857421875
1713299276.9163969,90800,-3193.10009765625
1713299277.1106853,90900,-3185.31005859375
1713299277.6051414,91000,-3170.468505859375
1713299277.7787764,91100,-3181.760009765625
1713299278.1325817,91300,-3184.3115234375
1713299279.0241542,91600,-3175.448486328125
1713299279.199299,91700,-3174.595703125
1713299279.3672621,91800,-3170.7158203125
1713299280.2596262,92100,-3182.265625
1713299280.4306352,92200,-3184.127197265625
1713299280.5985658,92300,-3170.19140625
1713299280.78149,92400,-3170.5771484375
1713299282.8627412,93200,-3150.07275390625
1713299283.0501235,93300,-3142.4443359375
1713299283.9584444,93600,-3156.712890625
1713299285.4924955,94300,-3158.489990234375
1713299286.3456705,94600,-3172.228515625
1713299288.0894332,95400,-3177.18994140625
1713299288.5865095,95500,-3171.699951171875
1713299288.9427567,95700,-3168.3701171875
1713299289.1210876,95800,-3170.478515625
1713299289.29486,95900,-3156.1943359375
1713299290.173337,96200,-3143.197021484375
1713299290.3459935,96300,-3132.725830078125
1713299291.1084874,96500,-3122.787109375
1713299291.4905722,96700,-3110.065673828125
1713299292.7041013,97200,-3086.741455078125
1713299292.8755093,97300,-3083.20703125
1713299293.9264758,97700,-3054.67431640625
1713299294.1043894,97800,-3048.419921875
