Wall time,Step,Value
1715149139.974922,7600,-1352.274169921875
1715149151.5941358,17200,-1174.6226806640625
1715149152.7601767,18400,-1161.9095458984375
1715149167.4496908,28800,-1118.3306884765625
1715149178.768734,38000,-1088.032958984375
1715149213.0287874,63600,-1124.109375
1715149220.1008747,67200,-1107.404296875
1715149251.6084058,92000,-1028.1318359375
1715149253.3312666,94000,-1009.18994140625
1715149262.912476,102400,-1019.27001953125
1715149271.3291256,109600,-1031.2733154296875
1715149288.2464478,123600,-937.22607421875
1715149289.1049697,124400,-930.0025024414062
1715149291.7225776,127600,-935.63427734375
1715149339.9017303,168800,-956.8050537109375
1715149358.1893353,184400,-975.735107421875
1715149363.1936972,190000,-965.86279296875
1715149391.893101,214800,-990.327880859375
1715149405.413283,225600,-943.2906494140625
1715149412.2291923,232000,-963.7446899414062
1715149416.779231,234800,-992.4254150390625
1715149417.092011,235200,-995.9891967773438
1715149438.594362,254000,-964.8203735351562
1715149443.0100741,259200,-948.3477783203125
1715149450.3249483,264800,-929.150146484375
1715149455.1281388,268800,-918.6680297851562
1715149475.026305,286000,-951.0235595703125
1715149478.849982,289200,-964.682373046875
1715149498.5261536,306400,-917.301025390625
1715149500.6291723,308800,-908.3172607421875
1715149507.9902372,314400,-908.2269897460938
1715149508.584119,315200,-907.8165893554688
1715149515.184889,321200,-941.7850952148438
1715149518.2768517,323600,-956.074951171875
1715149530.8081353,334800,-942.8616333007812
1715149580.8724513,378400,-841.484130859375
1715149592.356243,388800,-926.6884155273438
1715149592.651263,389200,-921.8693237304688
1715149597.1131015,391600,-915.4181518554688
1715149609.5236866,402400,-836.36083984375
1715149612.6962132,406000,-856.8008422851562
1715149636.3640325,425600,-822.7327270507812
1715149638.582488,426800,-820.6480712890625
1715149650.4211404,437600,-891.2269897460938
1715149656.9944744,442000,-860.7836303710938
1715149681.8369782,464800,-807.0623168945312
1715149690.8924398,472400,-885.2416381835938
1715149728.6929147,504800,-833.3780517578125
1715149752.7261775,526800,-902.6344604492188
1715149755.1900685,528000,-908.8330688476562
1715149760.8990705,533600,-905.3646850585938
1715149762.2954774,535200,-882.8643188476562
1715149786.3960502,554400,-807.6857299804688
1715149788.7422795,557200,-829.3544311523438
1715149798.9712927,566000,-836.4080200195312
1715149803.156846,570800,-820.6922607421875
1715149809.0805063,574800,-829.1787109375
1715149821.8499277,586800,-774.0208740234375
1715149828.169146,591200,-762.1798706054688
1715149833.2181115,596800,-783.5244750976562
