id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
2484d932-f5cc-489a-a29d-aa82eb359bd1,AUV Path learning,training the PPO model,,2024-05-07 13:07:28,12470.480421066284,0.0651296598968061,0.0371547124703106,"AMD Ryzen 7 5800H with Radeon Graphics/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,SA/Mecca Region,0
2564f5a4-4952-4722-b1f3-4e3d1bae8624,AUV Path learning,training the PPO model,,2024-05-07 20:28:10,12216.06286907196,0.0649078419851726,0.0370281713408074,"AMD Ryzen 7 5800H with Radeon Graphics/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,SA/Mecca Region,0
7c3db95e-7614-4cbc-96d4-ccc2ccb287fd,AUV Path learning,training the PPO model,N/A,2024-05-08 09:18:53,11569.563086032867,0.05994994154177267,0.03419982300115968,"AMD Ryzen 7 5800H with Radeon Graphics/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,SA/Mecca Region,0
