Wall time,Step,Value
1715242279.0699327,2400,-748.7547607421875
1715242283.0713553,7600,-695.2575073242188
1715242285.0975604,10000,-682.1393432617188
1715242292.975424,16400,-659.7116088867188
1715242293.5335944,17200,-660.292724609375
1715242294.6155229,18400,-664.8666381835938
1715242298.5183384,21600,-621.115234375
1715242300.8623855,22800,-613.333740234375
1715242305.6735675,28800,-496.315673828125
1715242306.7587306,30000,-474.6432800292969
1715242315.8388925,38000,-376.5843200683594
1715242321.0057738,41200,-375.2352294921875
1715242322.0385628,42400,-372.2889709472656
1715242322.3124306,42800,-374.2308349609375
1715242324.4556572,45600,-384.7307434082031
1715242331.4093063,50800,-344.23748779296875
1715242335.740513,56000,-327.69866943359375
1715242341.9111981,60400,-324.16668701171875
1715242343.5050695,62400,-303.1448669433594
1715242344.361646,63600,-293.2046203613281
1715242349.9593081,67200,-266.089111328125
1715242353.4467244,71600,-239.21080017089844
1715242355.0286722,73600,-227.20948791503906
1715242355.7874584,74400,-223.19921875
1715242356.0620027,74800,-222.2394256591797
1715242360.1566665,76400,-210.25645446777344
1715242362.6002002,79600,-192.72987365722656
1715242365.3019507,82800,-190.09527587890625
1715242365.5807803,83200,-188.08999633789062
1715242370.00017,85200,-186.9764404296875
1715242373.4157033,89600,-189.0994873046875
1715242375.5253932,92000,-175.39898681640625
1715242379.7927265,94000,-174.4193878173828
1715242384.6137784,100000,-153.91912841796875
1715242386.61724,102400,-151.36793518066406
1715242390.98173,104400,-152.78955078125
1715242393.2385552,107200,-151.9015655517578
1715242394.5496848,108800,-143.4703369140625
1715242395.087539,109600,-139.06324768066406
1715242403.857861,117200,-149.2228546142578
1715242405.4561253,119200,-154.84780883789062
1715242405.735912,119600,-156.01548767089844
1715242410.0047767,121600,-152.72653198242188
1715242411.5671473,123600,-150.3811492919922
1715242412.3429673,124400,-142.54153442382812
1715242414.7226126,127600,-129.20372009277344
1715242415.217928,128000,-128.51522827148438
1715242421.3648133,132400,-124.83265686035156
1715242424.2677047,136000,-140.93556213378906
1715242426.6584854,139200,-148.07273864746094
1715242434.3360791,145600,-140.60374450683594
