Wall time,Step,Value
1714212113.2744377,4300,-1830.647216796875
1714212132.5988245,9500,-1969.787109375
1714212160.2474122,16800,-1990.5185546875
1714212184.346812,23000,-1864.3155517578125
1714212185.9040291,23500,-1864.9056396484375
1714212200.125069,27400,-1906.8841552734375
1714212214.2044177,31100,-1871.4144287109375
1714212216.7071195,31900,-1843.6856689453125
1714212273.6847386,47500,-1648.1151123046875
1714212296.9771929,53700,-1946.0633544921875
1714212313.2971802,58000,-1907.52197265625
1714212315.5702765,58700,-1868.84033203125
1714212333.6668403,63500,-1801.548583984375
1714212338.2272465,64800,-1786.9149169921875
1714212361.8434134,71500,-1923.67333984375
1714212396.9768906,80900,-1880.9036865234375
1714212474.7294338,101500,-1695.6466064453125
1714212494.0632088,106700,-1602.4010009765625
1714212594.526301,133400,-1293.0433349609375
1714212595.8286676,133800,-1271.9493408203125
1714212613.9825714,138600,-1156.458740234375
1714212616.8652012,139300,-1143.623046875
1714212632.9212441,143700,-1116.6502685546875
1714212729.1279933,169200,-1004.0010375976562
1714212744.9496567,173500,-940.2911376953125
1714212745.9214084,173800,-942.6017456054688
1714212797.8718407,187800,-930.4861450195312
1714212812.9706075,191800,-1009.291748046875
1714212857.2669878,203700,-1010.579833984375
1714212879.3175778,209700,-1030.34765625
1714212918.2032583,220000,-1028.6063232421875
1714212941.3220215,226300,-1044.3751220703125
1714212957.8470843,230800,-1101.347900390625
1714212989.0273407,239000,-1002.9022216796875
1714213006.094559,243700,-1003.5542602539062
1714213024.4525082,248600,-995.9597778320312
1714213024.7777145,248700,-992.89453125
1714213029.081897,249900,-998.80908203125
1714213042.2512743,253300,-1042.8863525390625
1714213099.459201,268600,-1152.383544921875
1714213120.31331,274100,-1249.2188720703125
1714213231.4177306,303900,-1093.2530517578125
1714213304.0323734,323100,-1064.051025390625
1714213309.7347186,324700,-1107.68359375
1714213331.8731842,330600,-1098.35302734375
1714213447.945376,361900,-789.423095703125
1714213449.1504467,362100,-796.4849853515625
1714213467.846587,367100,-802.3716430664062
1714213494.6642253,374200,-899.1124877929688
1714213521.645477,381500,-889.0615844726562
1714213524.4388359,382200,-875.474609375
1714213564.287912,392900,-781.0636596679688
1714213574.868845,395700,-727.1818237304688
