Wall time,Step,Value
1713767816.5860672,1900,-1818.072998046875
1713767818.481064,2500,-1791.893310546875
1713767822.740248,4100,-1778.182861328125
1713767823.1247303,4300,-1785.408447265625
1713767824.1031137,4600,-1779.2188720703125
1713767826.9851215,5700,-1770.07763671875
1713767831.0407279,7200,-1858.9610595703125
1713767831.967093,7500,-1892.2572021484375
1713767837.2683287,9500,-1969.1934814453125
1713767840.3631134,10700,-2014.9071044921875
1713767845.8214493,12700,-2125.572998046875
1713767854.0656903,15600,-2188.65234375
1713767854.7061524,15900,-2177.40234375
1713767857.3074603,16800,-2134.0888671875
1713767861.6244192,18400,-2044.9285888671875
1713767862.4387345,18600,-2033.3284912109375
1713767874.932212,23000,-1853.2335205078125
1713767876.3346636,23500,-1855.4952392578125
1713767880.6987019,25000,-1888.949951171875
1713767882.3118432,25600,-1896.5284423828125
1713767883.7214997,26100,-1910.581787109375
1713767885.6523616,26800,-1928.30810546875
1713767887.3480046,27400,-1956.058837890625
1713767897.141174,30900,-2091.2587890625
1713767898.102962,31100,-2087.568115234375
1713767900.0905976,31900,-2143.762939453125
1713767906.185416,34000,-2185.532470703125
1713767908.3464134,34800,-2208.390625
1713767913.884129,36800,-2243.60595703125
1713767928.855486,42200,-2095.37548828125
1713767929.0559647,42300,-2095.1689453125
1713767934.1097586,44000,-1983.1435546875
1713767934.779945,44300,-1956.1807861328125
1713767935.7779987,44600,-1929.4052734375
1713767940.3142607,46100,-1833.123046875
1713767940.9901724,46400,-1825.9815673828125
1713767941.8908637,46500,-1821.127685546875
1713767944.6730652,47500,-1796.004638671875
1713767949.745962,49400,-1817.76708984375
1713767956.152104,51500,-1750.4334716796875
1713767960.92635,53200,-1746.2762451171875
1713767962.3204136,53700,-1759.3907470703125
1713767969.448086,56400,-1776.2171630859375
1713767972.1919749,57400,-1808.7772216796875
1713767974.1224568,58000,-1809.7490234375
1713767975.9060817,58700,-1796.2783203125
1713767976.100517,58800,-1795.2725830078125
1713767985.297357,62100,-1784.2554931640625
1713767985.6843128,62300,-1786.5262451171875
1713767989.3669043,63500,-1782.651123046875
1713767991.312451,64200,-1791.630615234375
1713767991.5032544,64300,-1791.3447265625
1713767992.2551548,64500,-1786.2861328125
1713767992.8368545,64800,-1795.60009765625
1713767993.6920574,65000,-1793.1956787109375
1713767996.8395798,66200,-1799.1956787109375
1713767999.56501,67200,-1795.1605224609375
1713768011.6496172,71500,-1905.5946044921875
1713768013.6670902,72300,-1902.3514404296875
1713768016.0390818,73100,-1922.0615234375
1713768018.5625765,74000,-1932.183349609375
1713768022.0053875,75300,-1968.4871826171875
1713768023.1633713,75700,-1982.194580078125
1713768025.6577716,76600,-1975.2879638671875
1713768026.9968963,77000,-1963.518798828125
1713768027.3907769,77200,-1961.0869140625
1713768027.7726219,77400,-1966.9072265625
1713768029.923837,78100,-1953.5609130859375
1713768031.3142743,78600,-1962.074951171875
1713768031.7802742,78800,-1968.06640625
1713768033.1706583,79300,-1952.0875244140625
1713768033.9316611,79500,-1948.7998046875
1713768034.7784104,79900,-1953.6920166015625
1713768035.934304,80300,-1961.065673828125
1713768037.4727771,80900,-1991.6007080078125
1713768038.1372466,81000,-1988.65771484375
1713768044.1724904,83300,-2025.4371337890625
1713768045.35494,83700,-2028.9698486328125
1713768054.296813,87000,-2140.87060546875
1713768056.0477104,87700,-2187.42578125
1713768057.5364969,88300,-2228.63525390625
1713768061.3896835,89700,-2291.504638671875
1713768062.5795615,90100,-2309.7177734375
1713768064.2709012,90800,-2324.712890625
1713768065.0104327,91000,-2335.338623046875
1713768066.9192069,91800,-2362.7470703125
1713768070.7429616,93200,-2413.469970703125
1713768070.93966,93300,-2410.695068359375
1713768073.60308,94300,-2461.67919921875
1713768074.5713928,94600,-2478.422119140625
1713768077.0713022,95500,-2529.47119140625
1713768078.933627,96300,-2552.689697265625
1713768081.4238327,97200,-2567.38037109375
1713768081.618353,97300,-2555.16015625
1713768083.1766794,97900,-2555.10595703125
1713768083.749987,98000,-2557.3349609375
1713768085.0933278,98500,-2558.6455078125
1713768089.6503198,100300,-2521.681396484375
1713768090.6081092,100600,-2511.8984375
1713768093.0194175,101500,-2504.35498046875
1713768101.0115328,104500,-2513.403076171875
1713768104.2732694,105800,-2509.91455078125
1713768105.8061585,106400,-2511.043701171875
1713768106.7571592,106700,-2496.973876953125
1713768107.1405208,106900,-2497.997314453125
1713768108.308228,107300,-2498.25390625
1713768109.8500311,107900,-2490.557861328125
1713768111.1875885,108400,-2463.84765625
1713768113.8831027,109400,-2449.29931640625
1713768115.8008523,110000,-2437.529296875
1713768117.1202295,110500,-2447.710693359375
1713768119.7565215,111500,-2471.692626953125
1713768130.8056016,115700,-2339.446533203125
1713768131.9653318,116100,-2333.244384765625
1713768132.149482,116200,-2330.323486328125
1713768132.3378718,116300,-2326.98046875
1713768137.3476133,118100,-2306.402099609375
1713768140.617512,119400,-2310.91845703125
1713768144.2629755,120700,-2312.795654296875
1713768151.1530948,123300,-2246.6083984375
1713768154.5672925,124500,-2217.93505859375
1713768157.4268107,125600,-2175.09814453125
1713768158.0014305,125900,-2160.584228515625
1713768159.0200107,126200,-2161.163818359375
1713768164.4539123,128200,-2087.73193359375
1713768166.008854,128800,-2072.93798828125
1713768168.055822,129500,-2033.7681884765625
1713768169.6170647,130100,-2006.288818359375
1713768173.8404872,131700,-1958.0980224609375
1713768174.7533367,132000,-1954.14208984375
1713768177.6349351,133100,-1956.6907958984375
1713768178.1693125,133400,-1931.973388671875
