Wall time,Step,Value
1715583051.8807604,15200,-2281.47607421875
1715583071.194649,34400,-2135.7900390625
1715583073.0805547,36800,-2153.36669921875
1715583094.1305575,57600,-2162.14892578125
1715583111.613499,76000,-2124.75341796875
1715583156.961065,127200,-2043.5828857421875
1715583164.191861,134400,-2047.122314453125
1715583210.8961315,184000,-2052.310546875
1715583213.8735964,188000,-2070.370361328125
1715583229.0669045,204800,-1936.7144775390625
1715583242.253589,219200,-2003.9669189453125
1715583266.7465153,247200,-1954.1312255859375
1715583268.0873137,248800,-1936.8466796875
1715583274.3140237,255200,-1942.585693359375
1715583348.024658,337600,-1814.9993896484375
1715583376.3245876,368800,-1843.8927001953125
1715583386.3324447,380000,-1863.1566162109375
1715583431.0194576,429600,-1789.81689453125
1715583449.417489,451200,-1828.35498046875
1715583461.3151622,464000,-1822.3536376953125
1715583465.3764765,469600,-1810.886474609375
1715583465.9093723,470400,-1793.6893310546875
1715583500.1976335,508000,-1744.1802978515625
1715583507.8301291,518400,-1775.5655517578125
1715583517.733996,529600,-1844.0767822265625
1715583525.1630185,537600,-1759.609619140625
1715583555.386927,572000,-1757.112548828125
1715583561.4506137,578400,-1779.7303466796875
1715583591.631394,612800,-1719.526611328125
1715583595.19306,617600,-1764.4725341796875
1715583605.410734,628800,-1734.7431640625
1715583606.5095935,630400,-1740.639892578125
1715583617.3550317,642400,-1725.0751953125
1715583622.6204317,647200,-1698.580810546875
1715583642.729767,669600,-1741.303466796875
1715583721.2028463,756800,-1728.343505859375
1715583739.1951563,777600,-1738.8900146484375
1715583740.4858994,778400,-1735.0753173828125
1715583744.037581,783200,-1703.9835205078125
1715583763.5001092,804800,-1721.0517578125
1715583770.2665439,812000,-1661.200927734375
1715583803.9175844,851200,-1705.9354248046875
1715583805.8386066,853600,-1683.8895263671875
1715583824.8985326,875200,-1644.421142578125
1715583833.1315486,884000,-1632.9310302734375
1715583873.1833572,929600,-1691.95703125
1715583886.1484458,944800,-1668.583251953125
1715583943.5950806,1009600,-1706.2593994140625
1715583983.0532713,1053600,-1650.409912109375
1715583984.9022117,1056000,-1671.379150390625
1715583994.8792925,1067200,-1593.72314453125
1715583997.342449,1070400,-1593.8095703125
1715584032.5170162,1108800,-1669.71240234375
1715584036.618747,1114400,-1659.84912109375
1715584053.1831434,1132000,-1579.3837890625
1715584061.6942544,1141600,-1627.7381591796875
1715584067.6863961,1149600,-1607.2481689453125
1715584089.4782803,1173600,-1597.2037353515625
1715584096.7682688,1182400,-1571.18408203125
1715584106.7642484,1193600,-1627.6175537109375
1715584130.4077172,1219200,-1569.913330078125
1715584150.8090947,1242400,-1636.3671875
1715584161.865362,1255200,-1574.6881103515625
1715584173.2111382,1268000,-1540.79638671875
1715584175.3773053,1271200,-1541.28955078125
1715584187.2950337,1284800,-1538.0030517578125
1715584213.0790036,1312800,-1510.2921142578125
1715584248.9537044,1353600,-1526.792724609375
1715584262.252358,1368000,-1504.6014404296875
1715584267.3925116,1375200,-1465.643310546875
1715584277.429906,1386400,-1524.296630859375
1715584279.7044628,1388000,-1516.54833984375
1715584282.1151187,1390400,-1515.68505859375
1715584313.3487427,1425600,-1518.888671875
1715584345.27256,1461600,-1487.5804443359375
1715584357.6874132,1476000,-1453.750732421875
1715584364.5226603,1483200,-1477.2822265625
1715584374.0231872,1493600,-1488.9305419921875
1715584375.9151719,1496000,-1493.768310546875
1715584382.0288835,1502400,-1476.161865234375
1715584410.445185,1534400,-1398.5650634765625
1715584422.162632,1548000,-1417.916748046875
1715584428.959126,1556000,-1421.20458984375
1715584431.298428,1558400,-1444.4415283203125
1715584469.0260832,1601600,-1445.6060791015625
1715584493.7036383,1629600,-1462.8424072265625
1715584522.8692906,1662400,-1427.9010009765625
1715584527.8454344,1668800,-1495.2239990234375
1715584531.8656793,1672000,-1443.165771484375
1715584535.9320745,1677600,-1409.8338623046875
1715584601.4826477,1750400,-1421.852294921875
1715584609.6758325,1760000,-1442.9188232421875
1715584617.4620092,1769600,-1421.8482666015625
1715584632.7604637,1785600,-1406.3922119140625
1715584635.710785,1789600,-1372.60693359375
1715584636.2625494,1790400,-1383.306396484375
1715584651.3247309,1806400,-1384.6842041015625
1715584654.258503,1810400,-1382.9483642578125
1715584686.699379,1846400,-1299.0860595703125
1715584695.785451,1856000,-1353.191162109375
1715584721.7821934,1884000,-1379.74951171875
1715584746.1449158,1912000,-1330.022705078125
1715584746.7165284,1912800,-1322.397216796875
1715584747.8445704,1914400,-1330.9139404296875
1715584802.7099009,1949600,-1272.1864013671875
1715584815.7805607,1963200,-1360.0626220703125
1715584817.1259842,1964800,-1361.708984375
1715584822.5931275,1968800,-1340.3646240234375
1715584841.1367846,1988800,-1318.6890869140625
1715584841.6814244,1989600,-1308.3489990234375
1715584847.6891198,1997600,-1281.208984375
1715584850.496537,1999200,-1284.5875244140625
1715584853.5189764,2003200,-1286.42431640625
1715584863.742729,2014400,-1316.7657470703125
1715584874.4360616,2026400,-1340.8480224609375
1715584885.2236419,2038400,-1354.3758544921875
1715584889.7135053,2043200,-1319.9581298828125
1715584985.5893521,2148800,-1173.607666015625
1715585031.871052,2192800,-1232.5882568359375
1715585042.7050486,2204000,-1181.3731689453125
1715585069.7978082,2232000,-1188.4771728515625
1715585149.4752169,2317600,-1177.00048828125
1715585200.8756862,2374400,-1074.395751953125
1715585233.9702694,2409600,-1110.6177978515625
1715585254.5718818,2431200,-1008.8360595703125
1715585256.4877994,2433600,-1022.8909912109375
1715585306.098606,2480000,-1039.7188720703125
1715585355.1962736,2529600,-990.6148071289062
1715585383.0965166,2557600,-976.71435546875
1715585409.6276362,2584800,-1042.0093994140625
1715585421.2928333,2596000,-982.6160888671875
1715585422.3900702,2597600,-998.75439453125
1715585422.918067,2598400,-1003.9555053710938
1715585467.2198567,2644800,-962.7801513671875
1715585499.3464742,2676800,-964.7410278320312
1715585523.4761724,2701600,-954.2764892578125
1715585547.219593,2727200,-942.514404296875
1715585564.850559,2744800,-915.1271362304688
1715585580.9831388,2760000,-907.5635986328125
1715585592.079775,2772000,-906.836181640625
1715585603.8431525,2784800,-867.3367309570312
1715585695.3468282,2880800,-926.26513671875
1715585708.0561514,2895200,-825.6890258789062
1715585711.34952,2896800,-816.7905883789062
1715585737.1498537,2925600,-854.6595458984375
1715585747.4696586,2936800,-835.7054443359375
1715585791.7810442,2981600,-781.9358520507812
1715585794.27282,2984800,-772.2890014648438
1715585802.9753978,2993600,-747.0789184570312
1715585842.938824,3035200,-729.195556640625
1715585857.861211,3052000,-714.6931762695312
1715585862.8767705,3056000,-730.002685546875
1715585863.9600012,3057600,-729.4288940429688
1715585872.0018044,3065600,-747.2276000976562
1715585896.1654556,3092000,-736.768798828125
1715585944.6170652,3143200,-751.129638671875
1715585965.6696844,3165600,-762.8969116210938
1715585986.783844,3188000,-746.4878540039062
1715586015.578034,3218400,-774.2399291992188
1715586024.1887105,3227200,-787.0100708007812
1715586026.1096888,3229600,-732.4219970703125
1715586071.4999053,3275200,-739.844970703125
1715586074.502035,3279200,-788.0642700195312
1715586083.5567322,3288000,-694.9185180664062
1715586139.7845397,3346400,-715.3789672851562
1715586148.0609257,3356000,-750.875
1715586151.2215674,3357600,-787.1046752929688
1715586154.8438425,3362400,-779.7698364257812
1715586174.1115336,3382400,-727.6842651367188
1715586177.170797,3386400,-748.718994140625
1715586181.1109352,3388800,-756.7532958984375
1715586202.1030908,3411200,-751.84130859375
1715586204.0807807,3413600,-742.600341796875
1715586233.1662662,3444000,-724.042236328125
1715586242.9388318,3454400,-810.0211181640625
1715586244.3219187,3456000,-812.923583984375
1715586305.1697106,3520800,-729.6828002929688
1715586331.296409,3547200,-710.4614868164062
1715586375.2709742,3594400,-698.9814453125
1715586388.0439227,3608000,-710.1875610351562
1715586404.9936993,3624800,-725.3522338867188
1715586444.0390062,3665600,-685.2890014648438
1715586479.8076653,3703200,-680.94970703125
1715586506.5899465,3732000,-678.8758544921875
1715586510.6964672,3735200,-691.7238159179688
1715586515.673158,3741600,-627.7603759765625
1715586543.963924,3771200,-726.59228515625
1715586572.4496305,3800800,-675.2759399414062
1715586577.1416452,3807200,-651.8473510742188
1715586600.8877838,3831200,-660.56884765625
1715586609.3751776,3840800,-723.4600219726562
1715586611.352833,3842400,-718.6585083007812
1715586639.746685,3872800,-710.220703125
1715586647.779892,3882400,-669.2872314453125
1715586682.1036925,3916000,-666.7694702148438
1715586733.6499047,3970400,-655.0340576171875
1715586741.1399176,3977600,-662.722900390625
1715586743.0894272,3980000,-675.9012451171875
1715586805.086987,4040800,-663.9954223632812
1715586806.1729422,4042400,-644.3087158203125
1715586847.2916214,4085600,-655.8005981445312
1715586869.8288782,4108000,-651.3877563476562
1715586919.7630875,4160800,-706.4275512695312
1715586949.4410794,4192000,-663.86328125
1715587017.9504535,4264000,-619.1664428710938
1715587031.6800702,4276800,-644.8153076171875
1715587042.256327,4288000,-635.3351440429688
1715587087.4108748,4336800,-651.1702880859375
1715587104.7797837,4354400,-646.4329833984375
1715587161.7110043,4412800,-660.8094482421875
1715587162.822972,4414400,-669.7764892578125
1715587186.3729055,4440000,-687.9309692382812
1715587215.2712755,4470400,-663.2750244140625
1715587271.7977328,4528800,-607.07470703125
1715587274.2589052,4532000,-621.4679565429688
1715587285.8317738,4544000,-620.18505859375
1715587316.7238493,4576800,-636.47607421875
1715587319.510114,4579200,-642.7052612304688
1715587359.8639743,4621600,-681.7695922851562
1715587384.1413796,4647200,-630.8098754882812
1715587396.5634434,4660800,-635.3052368164062
1715587399.5275352,4663200,-628.890625
1715587424.9234197,4690400,-620.9720458984375
1715587426.2964132,4692000,-613.202880859375
1715587432.4730973,4697600,-652.0407104492188
1715587459.1555448,4726400,-702.3174438476562
1715587474.758583,4743200,-690.0603637695312
1715587493.400624,4762400,-684.7913208007812
1715587496.3998046,4766400,-756.5728149414062
1715587502.12316,4771200,-702.37353515625
1715587522.5243104,4792800,-615.3607788085938
1715587536.6333115,4808800,-639.2769165039062
1715587541.5822337,4812800,-663.3189086914062
1715587589.9326231,4863200,-609.2117309570312
1715587623.4443755,4897600,-623.3275756835938
1715587631.8091357,4905600,-606.8043212890625
1715587669.7032046,4945600,-650.9083251953125
1715587684.403489,4960800,-682.8292236328125
1715587694.2280085,4971200,-655.8018188476562
1715587698.737199,4976000,-651.9954833984375
1715587708.0485935,4986400,-659.056884765625
1715587752.884215,5032000,-622.6692504882812
1715587771.2148933,5050400,-618.39892578125
1715587774.240063,5054400,-640.7512817382812
1715587792.94938,5073600,-712.6591796875
1715587809.214581,5091200,-668.3082275390625
1715587819.377302,5101600,-645.4414672851562
1715587836.942976,5120800,-623.564697265625
1715587911.7249296,5197600,-552.4974975585938
1715587914.17177,5200800,-559.074462890625
1715587929.69368,5216800,-574.2276611328125
1715587971.3067608,5260000,-582.7671508789062
1715587977.3341691,5268000,-578.6842651367188
1715587992.6169605,5283200,-585.55224609375
1715588033.0534525,5326400,-584.5775756835938
1715588039.6937418,5333600,-602.3809204101562
1715588051.7505429,5345600,-569.7559204101562
1715588062.7953644,5357600,-579.1866455078125
1715588064.698757,5360000,-579.5943603515625
1715588073.6718938,5369600,-626.0183715820312
1715588093.4458354,5391200,-670.944091796875
1715588095.9132485,5394400,-615.5006103515625
1715588104.4637911,5403200,-648.2578125
1715588174.6011128,5477600,-699.1297607421875
1715588181.6673162,5484000,-673.324951171875
1715588192.794035,5496000,-654.1879272460938
1715588242.0424945,5548000,-633.2937622070312
1715588265.7086205,5573600,-666.6050415039062
1715588285.358731,5594400,-639.0767822265625
1715588303.004732,5612000,-610.65283203125
1715588372.7076395,5685600,-583.760498046875
1715588377.7178385,5692000,-588.9315795898438
1715588412.5413752,5724800,-594.0469360351562
1715588467.425546,5773600,-639.6978759765625
1715588495.4638708,5798400,-635.7719116210938
1715588536.2353868,5840800,-599.5636596679688
1715588544.9521682,5849600,-634.9695434570312
1715588557.8775103,5864000,-640.051025390625
1715588565.8836176,5872000,-629.5909423828125
1715588566.422229,5872800,-630.99169921875
1715588582.1115284,5888000,-622.2799072265625
1715588597.9193819,5906400,-605.120849609375
1715588613.4961984,5921600,-645.0541381835938
1715588642.9113152,5952800,-656.3182983398438
1715588644.5702329,5955200,-616.7438354492188
1715588651.105023,5960800,-608.6307983398438
1715588657.1743815,5968800,-630.0090942382812
1715588659.9332252,5971200,-627.5761108398438
1715588672.0147429,5983200,-614.6514892578125
1715588696.2931733,6009600,-667.6838989257812
1715588711.902378,6024800,-608.85546875
1715588772.662968,6088000,-624.7702026367188
1715588799.4733152,6116000,-593.4859008789062
1715588812.764139,6129600,-603.0443725585938
1715588824.0223145,6141600,-654.8989868164062
1715588832.689707,6150400,-594.3967895507812
1715588836.353482,6155200,-610.5972290039062
1715588876.8786914,6197600,-603.72412109375
1715588887.3589559,6208800,-579.0699462890625
1715588903.5323339,6224800,-637.0308227539062
1715588909.348999,6231200,-567.8087768554688
1715588916.4436758,6239200,-596.58203125
1715588946.032507,6267200,-626.1656494140625
1715589003.6679664,6320800,-586.1849365234375
1715589031.4599273,6346400,-591.5643920898438
1715589080.0123332,6393600,-571.209228515625
1715589108.0966446,6421600,-535.1450805664062
1715589117.4187825,6430400,-536.442138671875
1715589127.6200433,6440000,-557.4527587890625
1715589142.959723,6453600,-561.754638671875
1715589235.1624236,6544800,-595.0889282226562
1715589237.7894971,6548000,-589.9570922851562
1715589263.8597457,6572800,-623.8856201171875
1715589267.5869358,6577600,-571.4755859375
1715589316.5596755,6624000,-546.319091796875
1715589326.233293,6632800,-612.0459594726562
1715589356.4097774,6662400,-582.2150268554688
1715589362.3132782,6666400,-571.2526245117188
1715589363.746493,6668000,-588.9828491210938
1715589367.4779775,6672800,-598.639892578125
1715589387.3614135,6691200,-566.064697265625
1715589393.0821493,6695200,-554.6787109375
1715589400.2267437,6702400,-515.8728637695312
1715589474.7803934,6774400,-546.769775390625
1715589476.8100712,6776800,-549.814697265625
1715589501.2297602,6799200,-547.918212890625
1715589507.5441651,6807200,-557.2398071289062
1715589555.3930962,6853600,-550.1627197265625
1715589577.0276418,6874400,-541.513427734375
1715589585.1116147,6881600,-551.0902709960938
1715589613.241803,6908000,-576.6522827148438
1715589613.8223617,6908800,-573.3820190429688
1715589621.826139,6916000,-566.96923828125
1715589659.6995852,6952800,-582.8856811523438
1715589663.8498907,6956800,-589.453125
1715589753.1987383,7041600,-503.10809326171875
1715589766.9533834,7056000,-544.890380859375
1715589770.0834074,7058400,-532.3114013671875
1715589786.752304,7075200,-566.5739135742188
1715589815.7342033,7103200,-566.5610961914062
1715589822.5877416,7108800,-561.82763671875
1715589835.504531,7122400,-581.4931640625
1715589836.9279704,7124000,-572.7506103515625
1715589840.0161502,7126400,-582.1026611328125
1715589856.2629933,7143200,-573.9799194335938
1715589863.1814013,7148800,-560.3277587890625
1715589882.2557638,7167200,-530.6005249023438
1715589895.5352476,7180800,-591.8522338867188
1715589911.3609667,7195200,-539.2997436523438
1715589915.3712466,7200000,-535.3035278320312
1715589924.0803435,7208000,-521.4834594726562
1715589962.6405175,7244800,-572.554443359375
1715589967.5997927,7251200,-556.1950073242188
1715589986.396026,7268000,-576.314208984375
1715590045.463532,7324800,-626.9410400390625
1715590103.8276722,7381600,-597.5747680664062
1715590109.4687593,7387200,-550.6509399414062
1715590132.069321,7408800,-569.0146484375
1715590169.5567122,7446400,-553.330078125
1715590176.2632153,7453600,-572.8671875
1715590203.1836882,7479200,-577.3062744140625
1715590221.4686563,7496000,-599.9929809570312
1715590255.3157635,7530400,-568.6068115234375
1715590257.2721627,7532800,-594.001708984375
1715590274.569633,7548800,-565.2743530273438
1715590281.192317,7554400,-579.4301147460938
1715590302.1139235,7575200,-618.3221435546875
1715590357.2780466,7631200,-601.1224975585938
1715590365.2176645,7638400,-574.2940063476562
1715590372.029368,7644000,-582.0010986328125
1715590382.356728,7654400,-584.3723754882812
1715590400.0778322,7672000,-552.4417114257812
1715590433.0334058,7702400,-608.1419677734375
1715590454.202848,7721600,-539.0761108398438
1715590457.821036,7726400,-534.919189453125
1715590476.4764602,7744800,-517.1161499023438
1715590491.6480684,7759200,-502.39599609375
1715590544.791753,7815200,-541.9832153320312
1715590579.4480479,7850400,-595.4117431640625
1715590601.823824,7872800,-520.814208984375
1715590603.5815969,7875200,-548.7864379882812
1715590634.180476,7907200,-560.6961059570312
1715590652.9291048,7926400,-577.6968994140625
1715590702.9883628,7978400,-544.1217651367188
1715590762.883413,8040800,-550.6596069335938
1715590766.053935,8044800,-578.53759765625
1715590767.82964,8047200,-586.48876953125
