Wall time,Step,Value
1713339558.2282076,600,-2396.761962890625
1713339558.4790869,700,-2377.89794921875
1713339560.0673995,1200,-2452.416748046875
1713339560.98462,1500,-2418.447509765625
1713339561.1891437,1600,-2432.34814453125
1713339561.7588077,1900,-2491.691650390625
1713339562.5390513,2100,-2509.353759765625
1713339563.6663878,2500,-2504.1943359375
1713339566.6913183,3700,-2539.833984375
1713339567.839151,4100,-2584.208984375
1713339568.2234533,4300,-2577.398681640625
1713339568.98229,4500,-2594.111083984375
1713339569.1916409,4600,-2601.1708984375
1713339569.554162,4800,-2610.3095703125
1713339571.0747638,5400,-2606.579345703125
1713339571.6442118,5500,-2616.215576171875
1713339571.8555653,5600,-2613.091796875
1713339572.0457094,5700,-2603.862060546875
1713339572.238356,5800,-2611.591064453125
1713339574.5478418,6600,-2624.22509765625
1713339575.0863311,6900,-2624.840576171875
1713339576.0149765,7200,-2649.78369140625
1713339576.2123666,7300,-2647.823974609375
1713339576.4054844,7400,-2638.440185546875
1713339576.9621344,7500,-2648.71044921875
1713339578.3228917,8000,-2650.615966796875
1713339580.237961,8800,-2663.631591796875
1713339580.423001,8900,-2661.975830078125
1713339582.3148804,9500,-2670.121826171875
1713339584.2102697,10300,-2668.94140625
1713339585.1426656,10600,-2689.898681640625
1713339585.3097043,10700,-2691.09716796875
1713339587.0503929,11400,-2686.954345703125
1713339587.999,11700,-2680.17431640625
1713339588.354366,11900,-2684.878662109375
1713339590.7390914,12700,-2669.551513671875
1713339591.6725752,13000,-2691.6171875
1713339591.8638961,13100,-2690.478515625
1713339594.321889,14000,-2688.02294921875
1713339594.7262971,14200,-2694.739990234375
1713339594.9067643,14300,-2694.98291015625
1713339595.0895936,14400,-2693.29296875
1713339597.1916146,15100,-2692.0615234375
1713339598.5239618,15600,-2711.264404296875
1713339598.9001548,15800,-2709.889892578125
1713339599.0760207,15900,-2716.357177734375
1713339600.2207906,16300,-2728.625732421875
1713339601.5223577,16800,-2727.65869140625
1713339601.7015033,16900,-2730.09716796875
1713339602.7024689,17200,-2713.57421875
1713339604.2372794,17800,-2715.621337890625
1713339604.4095685,17900,-2705.552978515625
1713339605.1722705,18100,-2699.277099609375
1713339605.7164679,18400,-2693.92724609375
1713339606.4563715,18600,-2688.94287109375
1713339606.6432877,18700,-2685.045654296875
1713339607.020427,18900,-2674.608642578125
1713339607.804182,19100,-2667.69287109375
1713339607.9941823,19200,-2666.487060546875
1713339609.702705,19900,-2647.265625
1713339612.041463,20700,-2613.070068359375
1713339612.2263224,20800,-2610.952880859375
1713339612.420155,20900,-2611.048583984375
1713339613.550955,21300,-2611.221435546875
1713339616.2094476,22300,-2596.508544921875
1713339616.4023714,22400,-2598.42724609375
1713339617.1881845,22600,-2600.409912109375
1713339618.32951,23000,-2576.6298828125
1713339618.9419286,23300,-2558.36865234375
1713339619.1295507,23400,-2550.360107421875
1713339619.6731997,23500,-2540.934326171875
1713339620.2423246,23800,-2518.03857421875
1713339623.6607823,25000,-2474.80712890625
1713339625.22431,25600,-2430.962890625
1713339625.8017836,25900,-2411.514404296875
1713339626.5683167,26100,-2401.340087890625
1713339626.7522993,26200,-2393.38427734375
1713339627.1291983,26400,-2389.3798828125
1713339628.30452,26800,-2375.725830078125
1713339629.4736817,27200,-2354.318603515625
1713339629.8393536,27400,-2353.36572265625
1713339631.1689239,27900,-2356.65576171875
1713339635.0203369,29300,-2358.3701171875
1713339636.351144,29800,-2362.532958984375
1713339636.5217037,29900,-2356.467041015625
1713339637.7217147,30300,-2359.062744140625
1713339637.915355,30400,-2356.027099609375
1713339639.0557292,30800,-2356.391357421875
1713339639.2532132,30900,-2356.3115234375
1713339640.0219903,31100,-2350.242919921875
1713339640.5667965,31400,-2356.340087890625
1713339641.922538,31900,-2366.159912109375
1713339642.4727893,32000,-2368.09130859375
1713339642.6892467,32100,-2364.237060546875
1713339644.002133,32600,-2375.972900390625
1713339644.194892,32700,-2370.138671875
1713339644.3874116,32800,-2373.648681640625
1713339645.3262722,33100,-2362.468505859375
1713339647.8206968,34000,-2380.314208984375
1713339648.2095315,34200,-2375.01708984375
1713339649.6806846,34800,-2374.61572265625
1713339651.1844618,35400,-2371.74560546875
1713339651.7415853,35500,-2368.3798828125
1713339653.3181577,36100,-2372.962890625
1713339653.8887453,36400,-2371.33154296875
1713339655.0455272,36800,-2375.84716796875
1713339656.1720092,37200,-2395.778564453125
1713339656.5406966,37400,-2390.97705078125
1713339657.6688292,37800,-2393.197021484375
1713339657.8567119,37900,-2391.6171875
1713339658.4129667,38000,-2386.377197265625
1713339658.8048599,38200,-2391.678466796875
1713339660.1838756,38700,-2386.80712890625
1713339661.5358033,39200,-2391.67138671875
1713339661.718271,39300,-2390.94140625
1713339661.9050872,39400,-2386.642822265625
1713339665.9387488,40900,-2414.19287109375
1713339668.0303404,41600,-2450.071533203125
1713339669.5764904,42200,-2451.515625
1713339669.7787533,42300,-2457.992919921875
1713339670.5414138,42500,-2460.24560546875
1713339670.9846177,42700,-2470.61865234375
1713339672.1433344,43100,-2477.527099609375
1713339674.650614,44000,-2506.934326171875
1713339675.0486352,44200,-2520.38427734375
1713339675.2319953,44300,-2526.085693359375
1713339676.2209377,44600,-2540.032958984375
1713339677.8656788,45200,-2546.741455078125
1713339680.212283,46000,-2572.59130859375
1713339680.4234533,46100,-2572.911376953125
1713339680.989535,46400,-2583.755615234375
1713339681.5649316,46500,-2594.67431640625
1713339683.8328614,47400,-2600.36865234375
1713339684.5028327,47500,-2601.9443359375
1713339687.3632214,48600,-2610.494384765625
1713339687.9399576,48900,-2604.274169921875
1713339688.4986067,49000,-2597.277099609375
1713339688.9017756,49200,-2587.47998046875
1713339689.2901394,49400,-2593.218505859375
1713339693.1926613,50800,-2563.645751953125
1713339694.6014774,51300,-2530.68994140625
1713339695.3702605,51500,-2515.05859375
1713339695.9677255,51800,-2503.817138671875
1713339696.72351,52000,-2493.5400390625
1713339698.083429,52500,-2466.639892578125
1713339698.2861626,52600,-2458.4599609375
1713339699.9584875,53200,-2433.687255859375
1713339700.3526945,53400,-2426.68994140625
1713339700.968685,53500,-2417.274169921875
1713339701.354947,53700,-2391.81005859375
1713339701.5495415,53800,-2395.102783203125
1713339702.6003797,54100,-2392.085693359375
1713339703.0315912,54300,-2382.662841796875
1713339704.4489157,54800,-2371.66845703125
1713339704.6328475,54900,-2367.704345703125
1713339707.2468445,55800,-2334.165771484375
1713339708.0099275,56000,-2337.065673828125
1713339708.8268552,56400,-2318.872802734375
1713339709.463223,56500,-2315.062744140625
1713339709.6806712,56600,-2308.872802734375
1713339710.8495007,57000,-2278.737060546875
