id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
f6d28548-3cee-4054-902a-447dd11c6951,AUV Path learning for 3d,training the PPO model2d,,2024-05-26 22:35:34,12859.22992014885,0.0587697212852062,0.0335265392107354,"AMD Ryzen 7 5800H with Radeon Graphics/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,SA/Mecca Region,0
67a72d72-beab-4221-bf4c-d280c12aa170,AUV Path learning for 3d,training the PPO model2d,,2024-05-27 09:41:29,4501.744841814041,0.0223434919379721,0.0127463588763308,"AMD Ryzen 7 5800H with Radeon Graphics/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,SA/Mecca Region,0
04df7d21-52fd-483d-8b95-72febc07ed0f,AUV Path learning for 3d,training the PPO model2d,N/A,2024-05-27 11:16:07,692.1909205913544,0.003015832006067405,0.0017204507319972906,"AMD Ryzen 7 5800H with Radeon Graphics/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,SA/Mecca Region,0
