Wall time,Step,Value
1714047104.7808204,4300,-898.1721801757812
1714047105.589453,4600,-893.8213500976562
1714047114.302917,7200,-850.5303344726562
1714047121.8419185,9500,-837.4690551757812
1714047145.1221473,16800,-775.741943359375
1714047165.8889267,23000,-930.6222534179688
1714047167.2374344,23500,-939.1241455078125
1714047173.9894838,25600,-1091.3985595703125
1714047179.85763,27400,-1217.5345458984375
1714047191.0146856,30900,-1324.6663818359375
1714047192.1036491,31100,-1334.4234619140625
1714047194.237797,31900,-1363.0142822265625
1714047245.1050344,47500,-820.5156860351562
1714047265.0727146,53700,-816.2555541992188
1714047279.0935724,58000,-629.7830810546875
1714047281.0152907,58700,-618.33740234375
1714047296.9306972,63500,-514.00732421875
1714047301.0951457,64800,-523.4614868164062
1714047322.7624118,71500,-544.8530883789062
1714047325.3917267,72300,-548.304931640625
1714047351.0535111,80300,-504.3756408691406
1714047352.71133,80900,-503.13525390625
1714047361.9905114,83700,-500.9514465332031
1714047406.4720306,97200,-654.8843994140625
1714047420.479586,101500,-702.8326416015625
1714047437.4623244,106700,-639.0411987304688
1714047449.5739956,110500,-604.4130859375
1714047473.7125854,118100,-496.0841369628906
1714047498.9828467,126200,-666.8276977539062
1714047516.1075902,131700,-561.2805786132812
1714047517.4734688,132000,-548.6822509765625
1714047521.7054067,133400,-473.56646728515625
1714047522.7464457,133800,-456.6591491699219
1714047537.901184,138600,-479.64434814453125
1714047540.2351558,139300,-484.0150451660156
1714047553.693367,143700,-505.0976257324219
1714047563.210744,146700,-474.9375305175781
1714047590.2839615,155300,-465.3933410644531
1714047600.4646907,158500,-405.201416015625
1714047634.2731595,169200,-364.7049255371094
1714047647.608991,173500,-357.0652770996094
1714047648.3887293,173800,-355.16778564453125
1714047683.1114037,184500,-531.3026733398438
1714047693.250601,187800,-500.7275085449219
1714047705.8559816,191800,-366.2856140136719
1714047715.4608445,194800,-305.8302307128906
1714047744.052828,203700,-289.1761474609375
1714047762.9664612,209700,-352.49932861328125
1714047791.818314,218800,-485.3045654296875
1714047796.15128,220000,-502.42669677734375
1714047806.2856283,223200,-399.3577575683594
1714047816.107205,226300,-388.488525390625
1714047830.05877,230800,-444.6116638183594
1714047856.7634873,239000,-302.8525695800781
1714047871.3303022,243700,-278.4239807128906
1714047876.8095453,245400,-265.4515075683594
1714047877.3282647,245600,-266.5577392578125
1714047879.1406548,246100,-266.3769836425781
1714047886.6463387,248600,-259.68133544921875
1714047886.9037259,248700,-258.3554992675781
1714047890.5477326,249900,-243.65904235839844
1714047892.3623142,250400,-242.10714721679688
1714047901.4561045,253300,-242.05589294433594
1714047949.9653635,268600,-255.33981323242188
1714047967.9017258,274100,-334.04296875
1714048039.6666238,296800,-211.60133361816406
1714048061.8782315,303900,-246.4664306640625
1714048063.16127,304200,-247.04132080078125
1714048101.2738817,316200,-418.1988830566406
1714048123.2000895,323100,-249.64044189453125
1714048128.0646343,324700,-257.32147216796875
1714048128.3307533,324800,-251.0888214111328
1714048146.967238,330600,-238.9508514404297
1714048202.541492,348100,-225.00570678710938
1714048245.88572,361900,-258.53167724609375
1714048246.9085019,362100,-262.0965576171875
1714048262.45293,367100,-228.55128479003906
1714048284.8088114,374200,-183.9586944580078
1714048308.0316596,381500,-180.89541625976562
1714048310.5101063,382200,-181.51181030273438
1714048343.9367092,392900,-252.0783233642578
1714048352.8085713,395700,-253.9141082763672
1714048378.2491388,403700,-219.18563842773438
1714048397.6782641,409900,-253.52883911132812
1714048428.6513999,419700,-302.2734375
1714048440.2758331,423300,-311.9453125
1714048466.7150211,431800,-188.8789520263672
1714048493.1837814,440100,-168.10787963867188
1714048522.0162587,449300,-224.40985107421875
1714048527.4292598,451000,-221.53553771972656
1714048533.8915815,453100,-213.2340545654297
1714048576.6579084,466500,-287.8741149902344
1714048577.7145057,466900,-290.5879211425781
1714048580.3224077,467700,-294.4730529785156
1714048615.6818783,478900,-208.16183471679688
1714048620.36656,480300,-220.45968627929688
1714048632.4964254,484100,-245.1545867919922
1714048649.6765263,489500,-245.2509002685547
1714048674.017582,497200,-195.2793426513672
1714048698.90309,505100,-188.37838745117188
1714048699.4111474,505300,-190.9653778076172
1714048716.1076045,510700,-179.16464233398438
1714048725.154093,513500,-211.81387329101562
1714048792.1364167,534600,-333.2154235839844
1714048796.8669686,536000,-324.6541442871094
1714048816.1118202,542100,-187.24424743652344
1714048857.5753362,555000,-185.0403289794922
1714048898.600984,568000,-204.6136474609375
1714048912.2951324,572400,-214.49266052246094
1714048938.9274094,580900,-305.8787841796875
1714048957.1234844,586500,-467.32183837890625
1714048959.4520402,587200,-475.0036926269531
1714048970.3657024,590800,-510.1403503417969
1714048996.8071864,599100,-582.985107421875
1714049041.5783165,613200,-304.8393859863281
1714049063.406339,620100,-543.6080322265625
1714049069.334291,622000,-587.4108276367188
